title,content,publication_date,cleaned_content
Pine,"See List of Pinus species for complete taxonomy to species level. See list of pines by region for list of species by geographic distribution.
A pine is any conifer tree or shrub in the genus Pinus (/ˈpaɪnəs/)[2] of the family Pinaceae. Pinus is the sole genus in the subfamily Pinoideae.
World Flora Online accepts 134 species-rank taxa (119 species and 15 nothospecies) of pines as current, with additional synonyms,[3] and Plants of the World Online 126 species-rank taxa (113 species and 13 nothospecies),[4] making it the largest genus among the conifers. The highest species diversity of pines is found in Mexico.[5][6][7] Pines are widely distributed in the Northern Hemisphere; they occupy large areas of boreal forest, but are found in many habitats, including the Mediterranean Basin, and dry tropical forests in southeast Asia and Central America.
Wood from pine trees is one of the most extensively used types of timber, and some pines are widely used as Christmas trees."," This page was last edited on 3 March 2025, at 20:24 (UTC).",list pinus specie complete taxonomy species level list pine region list specie geographic distribution pine conifer tree shrub genus pinus family pinaceae pinus sole genus subfamily pinoideae world flora online accept speciesrank taxa specie nothospecie pine current additional plant world online speciesrank taxa specie make large genus conifer high specie diversity pine find pine widely distribute northern hemisphere occupy large area boreal forest find habitat include mediterranean basin dry tropical forest southeast asia central america wood pine tree extensively type timber pine widely christmas tree
Cedar,Cedar may refer to:," This page was last edited on 24 November 2022, at 02:10 (UTC).",cedar refer
Sequoioideae,"Sequoioideae, commonly referred to as redwoods, is a subfamily of coniferous trees within the family Cupressaceae, that range in the northern hemisphere. It includes the largest and tallest trees in the world. The trees in the subfamily are amongst the most notable trees in the world and are common ornamental trees. The subfamily reached its peak of diversity during the early cenozoic.
The three redwood subfamily genera are Sequoia from coastal California and Oregon, Sequoiadendron from California's Sierra Nevada, and Metasequoia in China. The redwood family contains the largest and tallest trees in the world. These trees can live for thousands of years. Threats include logging, fire suppression,[1] illegal marijuana cultivation, and burl poaching.[2][3]
Only two of the genera, Sequoia and Sequoiadendron, are known for massive trees. Trees of Metasequoia, from the single living species Metasequoia glyptostroboides, are deciduous, grow much smaller (although are still large compared to most other trees) and can live in colder climates.[citation needed]
Multiple studies of both morphological and molecular characters have strongly supported the assertion that the Sequoioideae are monophyletic.[4][5][6][7]  Most modern phylogenies place Sequoia as sister to Sequoiadendron and Metasequoia  as the out-group.[5][7][8] However, Yang et al. went on to investigate the origin of a peculiar genetic component in Sequoioideae, the polyploidy of Sequoia—and generated a notable exception that calls into question the specifics of this relative consensus.[7]"," This page was last edited on 28 February 2025, at 02:58 (UTC).",sequoioideae commonly refer redwood subfamily coniferous tree family cupressaceae range northern hemisphere include large tall tree world tree subfamily notable tree world common ornamental tree subfamily reach peak diversity early cenozoic redwood subfamily genera sequoia coastal california oregon sequoiadendron californias sierra nevada metasequoia china redwood family contain large tall tree world tree live thousand year threat include log fire illegal marijuana cultivation burl genera sequoia sequoiadendron know massive tree tree metasequoia single live specie metasequoia glyptostroboide deciduous grow small large compare tree live colder climatescitation need multiple study morphological molecular character strongly support assertion sequoioideae modern phylogeny place sequoia sister sequoiadendron metasequoia yang et al go investigate origin peculiar genetic component sequoioideae polyploidy sequoia generate notable exception call question specific relative
Spruce,"About 35; see text.
A spruce is a tree of the genus Picea (/paɪˈsiː.ə/ py-SEE-ə),[1] a genus of about 40 species of coniferous evergreen trees in the family Pinaceae, found in the northern temperate and boreal (taiga) regions of the Northern hemisphere. Picea is the sole genus in the subfamily Piceoideae. Spruces are large trees, from about 20 to 60 m (about 60–200 ft) tall when mature, and have whorled branches and conical form.
Spruces can be distinguished from other genera of the family Pinaceae by their needles (leaves), which are four-sided and attached singly to small persistent peg-like structures (pulvini or sterigmata[2]) on the branches, and by their cones (without any protruding bracts), which hang downwards after they are pollinated.[3] The needles are shed when 4–10 years old, leaving the branches rough with the retained pegs. In other similar genera, the branches are fairly smooth.
Spruce are used as food plants by the larvae of some Lepidoptera (moth and butterfly) species, such as the eastern spruce budworm. They are also used by the larvae of gall adelgids (Adelges species)."," This page was last edited on 13 February 2025, at 10:23 (UTC).",text spruce tree genus picea paɪˈsiːə genus specie coniferous evergreen tree family pinaceae find northern temperate boreal taiga region northern hemisphere picea sole genus subfamily piceoideae spruce large tree m ft tall mature whorle branch conical form spruce distinguish genera family pinaceae needle leave fourside attach singly small persistent peglike structure pulvinus branch cone protrude bract hang downward needle shed year old leave branch rough retain peg similar genera branch fairly smooth spruce food plant larvae lepidoptera moth butterfly specie eastern spruce budworm larvae gall adelgids adelge specie
Fir,"See text
Firs are evergreen coniferous trees belonging to the genus Abies (Latin: [ˈabieːs]) in the family Pinaceae. There are approximately 48–65[3][4] extant species, found on mountains throughout much of North and Central America, Eurasia, and North Africa. The genus is most closely related to Keteleeria, a small genus confined to eastern Asia.[5]
The genus name is derived from the Latin ""to rise"" in reference to the height of its species.[6] The common English name originates with the Old Norse fyri or the Old Danish fyr.[7]
They are large trees, reaching heights of 10–80 metres (33–262 feet) tall with trunk diameters of 0.5–4 m (1 ft 8 in – 13 ft 1 in) when mature. Firs can be distinguished from other members of the pine family by the way in which their needle-like leaves are attached singly to the branches with a base resembling a suction cup, and by their cones, which, like those of cedars, stand upright on the branches like candles and disintegrate at maturity."," This page was last edited on 23 February 2025, at 22:09 (UTC).",text fir evergreen coniferous tree belong genus abie latin ˈabieːs family pinaceae approximately extant specie find mountain north central america eurasia north africa genus closely related keteleeria small genus confine eastern genus derive latin rise reference height common english originate old norse fyri old danish large tree reach height metre foot tall trunk diameter m ft ft mature fir distinguish member pine family way needlelike leave attach singly branch base resemble suction cup cone like cedar stand upright branch like candle disintegrate maturity
Larch,"About 10–11; see text
Larches are deciduous conifers in the genus Larix, of the family Pinaceae (subfamily Laricoideae). Growing from 20 to 50 metres (65 to 165 feet) tall,[1] they are native to the cooler regions of the northern hemisphere, where they are found in lowland forests in the high latitudes, and high in mountains further south. Larches are among the dominant plants in the boreal forests of Siberia and Canada. Although they are conifers, larches are deciduous trees that lose their needles in the autumn.
The English name larch ultimately derives from the Latin ""larigna"", named after the ancient settlement of Larignum[dubious – discuss]. The story of its naming was preserved by Vitruvius:
It is worth while to know how this wood was discovered. The divine Caesar, being with his army in the neighbourhood of the Alps, and having ordered the towns to furnish supplies, the inhabitants of a fortified stronghold there, called Larignum, trusting in the natural strength of their defences, refused to obey his command. So the general ordered his forces to the assault. In front of the gate of this stronghold there was a tower, made of beams of this wood laid in alternating directions at right angles to each other, like a funeral pyre, and built high, so that they could drive off an attacking party by throwing stakes and stones from the top. When it was observed that they had no other missiles than stakes, and that these could not be hurled very far from the wall on account of the weight, orders were given to approach and to throw bundles of brushwood and lighted torches at this outwork. These the soldiers soon got together."," This page was last edited on 8 February 2025, at 06:30 (UTC).",text larch deciduous conifer genus larix family pinaceae subfamily laricoideae grow metre foot native cool region northern hemisphere find lowland forest high latitude high mountain south larch dominant plant boreal forest siberia canada conifer larch deciduous tree lose needle autumn english larch ultimately derive latin larigna name ancient settlement larignumdubious discuss story naming preserve vitruvius worth know wood discover divine caesar army neighbourhood alp having order town furnish supply inhabitant fortified stronghold call larignum trusting natural strength defence refuse obey command general order force assault gate stronghold tower beam wood lay alternate direction right angle like funeral pyre build high drive attack party throw stake stone observe missile stake hurl far wall account weight order give approach throw bundle brushwood light torch outwork soldier soon get
Ebony,"Ebony is a dense black/brown hardwood, coming from several species in the genus Diospyros, which also includes the persimmon tree. A few Diospyros species, such as macassar and mun ebony, are dense enough to sink in water. Ebony is finely textured and has a mirror finish when polished, making it valuable as an ornamental wood.[1] It is often cited as one of the most expensive woods in the world.
The word ebony comes from the Ancient Egyptian hbny, through the Ancient Greek ἔβενος (ébenos), into Latin (ebenus) and Middle English.[2]
Species of ebony include Diospyros ebenum (Ceylon ebony), native to southern India and Sri Lanka; D. crassiflora (Gabon ebony), native to western Africa; D. humilis (Queensland ebony), native to Queensland, the Northern Territory, New Guinea and Timor; and D. celebica (Sulawesi ebony), native to Indonesia and prized for its luxuriant, multi-colored wood grain. Mauritius ebony, D. tessellaria, was largely exploited by the Dutch in the 17th century. Some species in the genus yield an ebony with similar physical properties, but striped rather than the even black of D. ebenum.
Ebony has a long history of use, and carved pieces have been found in Ancient Egyptian tombs.[3]
By the end of the 16th century, fine cabinets for the luxury trade were made of ebony in Antwerp. The wood's dense hardness lent itself to refined moldings framing finely detailed pictorial panels with carving in very low relief (bas-relief), usually of allegorical subjects, or with scenes taken from classical or Christian history. Within a short time, such cabinets were also being made in Paris, where their makers became known as ébénistes, which remains the French term for a cabinetmaker."," This page was last edited on 21 July 2024, at 07:03 (UTC).",ebony dense blackbrown hardwood come specie genus diospyro include persimmon tree diospyro specie macassar mun ebony dense sink water ebony finely texture mirror finish polished make valuable ornamental cite expensive wood world word ebony come ancient egyptian hbny ancient greek ἔβενος ébenos latin ebenus middle specie ebony include diospyros ebenum ceylon ebony native southern india sri lanka d crassiflora gabon ebony native western africa d humilis queensland ebony native queensland northern territory new guinea timor d celebica sulawesi ebony native indonesia prize luxuriant multicolore wood grain mauritius ebony d tessellaria largely exploit dutch century specie genus yield ebony similar physical property stripe black d ebenum ebony long history use carve piece find ancient egyptian end century fine cabinet luxury trade ebony antwerp wood dense hardness lend refined molding frame finely detailed pictorial panel carve low relief basrelief usually allegorical subject scene take classical christian history short time cabinet paris maker know ébéniste remain french term cabinetmaker
Bamboo,"Bamboos are a diverse group of mostly evergreen perennial flowering plants making up the subfamily Bambusoideae of the grass family Poaceae.[3][4][5] Giant bamboos are the largest members of the grass family, in the case of Dendrocalamus sinicus having individual stalks (culms) reaching a length of 46 meters (151 ft), up to 36 centimeters (14 in) in thickness and a weight of up to 450 kilograms (1,000 lb).[6] The internodes of bamboos can also be of great length. Kinabaluchloa wrayi has internodes up to 2.5 meters (8 ft) in length.[7] and Arthrostylidium schomburgkii has internodes up to 5 meters (16 ft) in length,[8] exceeded in length only by papyrus.  By contrast, the stalks of the tiny bamboo Raddiella vanessiae of the savannas of French Guiana measure only 10–20 millimeters (0.4–0.8 in) in length by about 2 millimeters (0.08 in) in width.[9] The origin of the word ""bamboo"" is uncertain, but it probably comes from the Dutch or Portuguese language, which originally borrowed it from Malay or Kannada.[5][10][11]
In bamboo, as in other grasses, the internodal regions of the stem are usually hollow and the vascular bundles in the cross-section are scattered throughout the walls of the stalk instead of in a cylindrical cambium layer between the bark (phloem) and the wood (xylem) as in dicots and conifers. The dicotyledonous woody xylem is also absent. The absence of secondary growth wood causes the stems of monocots, including the palms and large bamboos, to be columnar rather than tapering.[12]
Bamboos include some of the fastest-growing plants in the world,[13] due to a unique rhizome-dependent system. Certain species of bamboo can grow 91 centimeters (36 inches) within a 24-hour period, at a rate of almost 40 millimeters (1+1⁄2 in) an hour (equivalent to 1 mm (0.04 in) every 90 seconds).[14] Growth up to 120 centimeters (47.2 in) in 24 hours has been observed in the instance of Japanese giant timber bamboo (Phyllostachys bambusoides).[15] This rapid growth and tolerance for marginal land, make bamboo a good candidate for afforestation, carbon sequestration and climate change mitigation.[16][17][18]"," This page was last edited on 20 February 2025, at 00:19 (UTC).",bamboo diverse group evergreen perennial flowering plant make subfamily bambusoideae grass family giant bamboo large member grass family case dendrocalamus sinicus have individual stalk culm reach length meter ft centimeter thickness weight kilogram internode bamboos great length kinabaluchloa wrayi internode meter ft arthrostylidium schomburgkii internode meter ft exceed length papyrus contrast stalk tiny bamboo raddiella vanessiae savanna french guiana measure millimeter length millimeter origin word bamboo uncertain probably come dutch portuguese language originally borrow malay bamboo grass internodal region stem usually hollow vascular bundle crosssection scatter wall stalk instead cylindrical cambium layer bark phloem wood xylem dicot conifer dicotyledonous woody xylem absent absence secondary growth wood cause stem monocot include palm large bamboos columnar bamboo include fastestgrowe plant unique rhizomedependent system certain specie bamboo grow centimeter inch period rate millimeter hour equivalent mm growth centimeter hour observe instance japanese giant timber bamboo phyllostachy rapid growth tolerance marginal land bamboo good candidate afforestation carbon sequestration climate change
Millettia laurentii,"Millettia laurentii is a legume tree from Africa and is native to the Republic of Congo, the Democratic Republic of Congo, Cameroon, Gabon and Equatorial Guinea. The species is listed as ""endangered"" in the IUCN Red List, principally due to the destruction of its habitat and over-exploitation for timber.[1] Wenge, a dark coloured wood, is the product of Millettia laurentii. Other names sometimes used for wenge include faux ebony, dikela, mibotu, bokonge, and awong. The wood's distinctive colour is standardised as a ""wenge"" colour in many systems.
Wenge (/ˈwɛŋɡeɪ/ WENG-gay) is a tropical timber, very dark in colour with a distinctive figure and pattern. The wood is heavy and hard, suitable for flooring and staircases.
Several musical instrument makers employ wenge in their products. Mosrite used it for bodies of their Brass Rail models. Ibanez and Cort use it for the five-piece necks of some of their electric basses. Warwick electric basses use FSC sourced wenge for fingerboards and necks as of 2013. It is also used by Yamaha as the centre ply of their Absolute Hybrid Maple drums.[2]
The wood is popular in segmented woodturning because of its dimensional stability and colour contrast when mixed with lighter woods such as maple. This makes it especially sought after in the manufacture of high-end wood canes and chess boards."," This page was last edited on 23 June 2024, at 07:29 (UTC).",millettia laurentii legume tree africa native republic congo democratic republic congo cameroon gabon equatorial guinea species list endanger iucn red list principally destruction habitat overexploitation wenge dark coloured wood product millettia laurentii name wenge include faux ebony dikela mibotu bokonge awong wood distinctive colour standardise wenge colour system wenge ˈwɛŋɡeɪ wenggay tropical timber dark colour distinctive figure pattern wood heavy hard suitable floor staircase musical instrument maker employ wenge product mosrite body brass rail model ibanez cort use fivepiece neck electric bass warwick electric bass use fsc source wenge fingerboard neck yamaha centre ply absolute hybrid maple wood popular segment woodturning dimensional stability colour contrast mix light wood maple make especially seek manufacture highend wood cane chess board
Zebrawood,"The name zebrawood is used to describe several tree species and the wood derived from them. Zebrawood is characterized by a striped figure that is reminiscent of a zebra. The name originally applied to the wood of Astronium graveolens,[citation needed] a large tree native to Central America. In the 20th century, the most important source of zebrawood was Microberlinia brazzavillensis, also called zebrano, [citation needed] a tree native to Central Africa. Other sources include Brazilian Astronium fraxinifolium, African Brachystegia spiciformis,[dubious – discuss] Pacific Guettarda speciosa,[dubious – discuss] and Asian Pistacia integerrima.[citation needed]
Zebrawood was first recorded in the British Customs returns for 1773, when 180 pieces of zebrawood were imported from the Mosquito Coast, a British colony (now the Republic of Honduras and Nicaragua).[1]  In his History of Jamaica (1774), Edward Long relates, ""The species of zebra wood at present in esteem among the cabinet-makers is brought to Jamaica from the Mosquito shore; it is of a most lovely tint, and richly veined...""[2]
The Mosquito Coast thereafter exported zebrawood regularly until the Convention of London (1786) and the consequent expulsion of British settlers from this part of the Viceroyalty of New Spain. [citation needed]
An alternative name which occurs in 18th century British sources is palmaletto or palmalatta, from palo mulatto, which was the local name for the wood.  At the beginning of the 19th century, another source of zebrawood was found in Brazil.  This species, Astronium fraxinifolium, is native to northern South America, especially north-eastern Brazil.  It is now traded as goncalo alves, a Portuguese name used in Brazil.  On the European and American markets, however, it was still called zebrawood, and commonly used in British furniture-making between about 1810 and 1860.[citation needed]
For most of the 19th century, the botanical identity of zebrawood was unknown.  For many years, it was thought to be the product of Omphalobium lambertii DC., later reclassified as Connarus guianensis Lamb ex DC., and finally as Connarus lambertii (DC.) Britton.  Despite similarities between the timbers of Connarus and Astronium, the former has yet to be identified on surviving furniture.  ""Published statements that certain species [of Connarus] supply furniture woods are undoubtedly incorrect.""[3]
In the 20th century, the name zebrawood, as applied to Astronium species, went out of use.  The word now usually refers to wood of the very different African tree Microberlinia brazzavillensis, but may be applied to other woods, mostly belonging to the same family Fabaceae, but not exclusively so, for example: Brachystegia spiciformis Goncalo alves."," This page was last edited on 23 June 2024, at 07:30 (UTC).",zebrawood describe tree specie wood derive zebrawood characterize striped figure reminiscent zebra originally apply wood astronium graveolenscitation need large tree native central america century important source zebrawood microberlinia brazzavillensis call zebrano citation need tree native central africa source include brazilian astronium fraxinifolium african brachystegia spiciformisdubious discuss pacific guettarda speciosadubious discuss asian pistacia integerrimacitation need zebrawood record british custom return piece zebrawood import mosquito coast british colony republic hondura history jamaica edward long relate specie zebra wood present esteem cabinetmaker bring jamaica mosquito shore lovely tint richly mosquito coast export zebrawood regularly convention london consequent expulsion british settler viceroyalty new spain citation need alternative occur century british source palmaletto palmalatta palo mulatto local wood beginning century source zebrawood find brazil species astronium fraxinifolium native northern south america especially northeastern brazil trade goncalo alve portuguese brazil european american market call zebrawood commonly british furnituremake need century botanical identity zebrawood unknown year think product omphalobium lambertii dc later reclassify connarus guianensis lamb ex dc finally connarus lambertii dc britton despite similarity timber connarus astronium identify survive furniture publish statement certain specie connarus supply furniture wood undoubtedly century zebrawood apply astronium specie go use word usually refer wood different african tree microberlinia brazzavillensis apply wood belong family fabaceae exclusively example brachystegia spiciformis goncalo alve
